"location","time","life_expectancy","fertility_rate","pop_mlns"
"DEU",1991,75.5,1.3,79.984
"DEU",1992,76,1.3,80.595
"DEU",1993,76.1,1.3,81.179
"DEU",1994,76.4,1.2,81.422
"DEU",1995,76.6,1.2,81.661
"DEU",1996,76.9,1.3,81.895
"DEU",1997,77.3,1.4,82.052
"DEU",1998,77.7,1.4,82.029
"DEU",1999,77.9,1.4,82.024
"DEU",2000,78.2,1.4,82.16
"DEU",2001,78.5,1.3,82.277
"DEU",2002,78.5,1.3,82.456
"DEU",2003,78.6,1.3,82.502
"DEU",2004,79.2,1.4,82.491
"DEU",2005,79.4,1.3,82.465
"DEU",2006,79.8,1.3,82.369
"DEU",2007,80.1,1.4,82.257
"DEU",2008,80.2,1.4,82.135
"DEU",2009,80.3,1.4,81.904
"DEU",2010,80.5,1.4,81.715
"DEU",2011,80.5,1.4,80.249
"DEU",2012,80.6,1.4,80.413
"DEU",2013,80.6,1.4,80.611
"DEU",2014,81.2,1.5,80.896
"GRC",1961,72,2.1,8.39805
"GRC",1962,71.7,2.2,8.448233
"GRC",1963,72,2.1,8.479625
"GRC",1964,71.9,2.2,8.510429
"GRC",1965,72.4,2.3,8.550333
"GRC",1966,72.6,2.3,8.613651
"GRC",1967,72.3,2.5,8.684088
"GRC",1968,72.4,2.4,8.740765
"GRC",1969,73,2.4,8.772764
"GRC",1970,73.8,2.4,8.792806
"GRC",1971,74.2,2.3,8.831036
"GRC",1972,73.8,2.3,8.888628
"GRC",1973,74.1,2.3,8.929086
"GRC",1974,74.6,2.4,8.962021
"GRC",1975,74.5,2.3,9.04654
"GRC",1976,74.5,2.4,9.18815
"GRC",1977,74.7,2.3,9.308479
"GRC",1978,75.2,2.3,9.429959
"GRC",1979,75.5,2.3,9.548258
"GRC",1980,75.3,2.2,9.642505
"GRC",1981,75.7,2.1,9.72935
"GRC",1982,75.9,2,9.789513
"GRC",1983,75.7,1.9,9.846627
"GRC",1984,76.2,1.8,9.895801
"GRC",1985,76,1.7,9.9343
"GRC",1986,76.5,1.6,9.967213
"GRC",1987,76.3,1.5,10.00059
"GRC",1988,76.8,1.5,10.03698
"GRC",1989,77,1.4,10.0895
"GRC",1990,77.1,1.4,10.1569
"GRC",1991,77.3,1.4,10.25629
"GRC",1992,77.2,1.4,10.36987
"GRC",1993,77.6,1.3,10.46553
"GRC",1994,77.8,1.3,10.55304
"GRC",1995,77.8,1.3,10.63438
"GRC",1996,78,1.3,10.70917
"GRC",1997,78.4,1.3,10.7765
"GRC",1998,78.4,1.2,10.83488
"GRC",1999,78.5,1.2,10.88258
"GRC",2000,78.6,1.3,10.91748
"GRC",2001,79.1,1.3,10.95
"GRC",2002,79.2,1.3,10.983
"GRC",2003,79.3,1.3,11.016
"GRC",2004,79.4,1.3,11.057
"GRC",2005,79.7,1.3,11.093
"GRC",2006,79.9,1.4,11.131
"GRC",2007,79.7,1.4,11.163
"GRC",2008,80.3,1.5,11.186
"GRC",2009,80.4,1.5,11.185
"GRC",2010,80.7,1.5,11.153
"GRC",2011,80.8,1.4,11.124
"GRC",2012,80.7,1.3,11.09
"HUN",1960,68.1,2,9.984
"HUN",1961,69,1.9,10.028
"HUN",1962,67.9,1.8,10.061
"HUN",1963,69,1.8,10.088
"HUN",1964,69.5,1.8,10.12
"HUN",1965,69.1,1.8,10.148
"HUN",1966,69.9,1.9,10.179
"HUN",1967,69.5,2,10.217
"HUN",1968,69.3,2.1,10.256
"HUN",1969,69.4,2,10.294
"HUN",1970,69.2,2,10.338
"HUN",1971,69.1,1.9,10.368
"HUN",1972,69.8,1.9,10.398
"HUN",1973,69.6,2,10.432
"HUN",1974,69.3,2.3,10.479
"HUN",1975,69.4,2.4,10.541
"HUN",1976,69.7,2.3,10.599
"HUN",1977,70,2.2,10.648
"HUN",1978,69.5,2.1,10.685
"HUN",1979,69.7,2,10.711
"HUN",1980,69.2,1.9,10.711
"HUN",1981,69.3,1.9,10.712
"HUN",1982,69.5,1.8,10.706
"HUN",1983,69.1,1.7,10.689
"HUN",1984,69.2,1.7,10.668
"HUN",1985,69.2,1.8,10.649
"HUN",1986,69.3,1.8,10.631
"HUN",1987,69.8,1.8,10.613
"HUN",1988,70.2,1.8,10.596
"HUN",1989,69.6,1.8,10.578
"HUN",1990,69.5,1.8,10.374
"HUN",1991,69.6,1.9,10.373
"HUN",1992,69.4,1.8,10.369
"HUN",1993,69.4,1.7,10.358
"HUN",1994,69.8,1.6,10.343
"HUN",1995,70.1,1.6,10.329
"HUN",1996,70.7,1.5,10.311
"HUN",1997,71.1,1.4,10.29
"HUN",1998,71.1,1.3,10.267
"HUN",1999,71.2,1.3,10.238
"HUN",2000,71.9,1.3,10.211
"HUN",2001,72.5,1.3,10.188
"HUN",2002,72.5,1.3,10.159
"HUN",2003,72.6,1.3,10.13
"HUN",2004,73,1.3,10.107
"HUN",2005,73,1.3,10.087
"HUN",2006,73.5,1.4,10.071
"HUN",2007,73.6,1.3,10.056
"HUN",2008,74.2,1.4,10.038
"HUN",2009,74.4,1.3,10.023
"HUN",2010,74.7,1.3,10
"HUN",2011,75,1.2,9.972
"HUN",2012,75.2,1.3,9.92
"HUN",2013,75.7,1.3,9.893
"HUN",2014,75.9,1.4,9.863
"ISL",1961,73.6,3.9,0.1789
"ISL",1962,73.8,4,0.1821
"ISL",1963,73.2,4,0.1855
"ISL",1964,73.6,3.9,0.1888
"ISL",1965,73.9,3.7,0.1923
"ISL",1966,73.4,3.6,0.1956
"ISL",1967,73.9,3.3,0.1988
"ISL",1968,74.1,3.1,0.2015
"ISL",1969,73.8,3,0.2034
"ISL",1970,74,2.8,0.2045
"ISL",1971,73.7,2.9,0.2062
"ISL",1972,74.5,3.1,0.2092
"ISL",1973,74.6,2.9,0.2123
"ISL",1974,74.6,2.7,0.2152
"ISL",1975,75.7,2.6,0.218
"ISL",1976,77.1,2.5,0.2202
"ISL",1977,76.5,2.3,0.2218
"ISL",1978,76.7,2.3,0.2235
"ISL",1980,77,2.5,0.2281
"ISL",1981,76.6,2.3,0.2308
"ISL",1982,77.1,2.3,0.234
"ISL",1983,77,2.2,0.237
"ISL",1984,77.7,2.1,0.2395
"ISL",1985,77.7,1.9,0.2414
"ISL",1986,78.1,1.9,0.2432
"ISL",1987,77.4,2.1,0.246
"ISL",1988,77.2,2.3,0.2499
"ISL",1989,78.2,2.2,0.2527
"ISL",1990,78.1,2.3,0.2548
"ISL",1991,78.1,2.2,0.258
"ISL",1992,78.8,2.2,0.2611
"ISL",1993,79,2.2,0.2638
"ISL",1994,79.3,2.1,0.266
"ISL",1995,78.1,2.1,0.2674
"ISL",1996,78.9,2.1,0.2689
"ISL",1997,79,2,0.2709
"ISL",1998,79.7,2,0.2738
"ISL",1999,79.4,2,0.2772
"ISL",2000,79.7,2.1,0.2812
"ISL",2001,80.8,1.9,0.285054
"ISL",2002,80.6,1.9,0.287559
"ISL",2003,81,2,0.289272
"ISL",2004,81.1,2,0.292587
"ISL",2005,81.6,2.1,0.295864
"ISL",2006,81.2,2.1,0.304334
"ISL",2007,81.5,2.1,0.311396
"ISL",2008,81.7,2.1,0.319355
"ISL",2009,81.8,2.2,0.319246
"ISL",2010,82,2.2,0.318006
"ISL",2011,82.4,2,0.319014
"ISL",2012,83,2,0.320716
"ISL",2013,82.1,1.9,0.323764
"ISL",2014,82.9,1.9,0.3273855
"IRL",1960,70,3.8,2.8321
"IRL",1970,71.2,3.9,2.9499
"IRL",1978,71.5,3.2,3.314
"IRL",1979,72.3,3.2,3.3682
"IRL",1980,72.9,3.2,3.401
"IRL",1981,72.9,3.1,3.4434
"IRL",1982,72.9,3,3.48
"IRL",1985,73.4,2.5,3.54
"IRL",1986,73.6,2.4,3.5406
"IRL",1987,74.5,2.3,3.5465
"IRL",1988,74.5,2.2,3.5307
"IRL",1989,74.5,2.1,3.5095
"IRL",1990,74.9,2.1,3.5058
"IRL",1991,75.1,2.1,3.5257
"IRL",1992,75.5,2,3.5545
"IRL",1993,75.3,1.9,3.5741
"IRL",1994,75.9,1.9,3.5859
"IRL",1995,75.6,1.9,3.6013
"IRL",1996,75.9,1.9,3.6261
"IRL",1997,76.1,1.9,3.6643
"IRL",1998,76.3,2,3.7031
"IRL",1999,76.2,1.9,3.7416
"IRL",2000,76.6,1.9,3.7895
"IRL",2001,77.2,2,3.8472
"IRL",2002,77.7,2,3.9172
"IRL",2003,78.2,2,3.9799
"IRL",2004,78.6,2,4.0452
"IRL",2005,79,1.9,4.1338
"IRL",2006,79.3,1.9,4.2329
"IRL",2007,79.7,2,4.3758
"IRL",2008,80.2,2.1,4.4851
"IRL",2009,80.3,2.1,4.5334
"IRL",2010,80.8,2.1,4.5548
"IRL",2011,80.8,2,4.5749
"IRL",2012,80.9,2,4.5854
"IRL",2013,81,2,4.5931
"IRL",2014,81.4,2,4.6099
"ITA",1961,69.8,2.4,49.156
"ITA",1971,72,2.4,53.124
"ITA",1974,72.6,2.3,54.39
"ITA",1975,72.7,2.2,54.764
"ITA",1976,72.8,2.1,55.07
"ITA",1977,73.4,2,55.266
"ITA",1978,73.8,1.9,55.446
"ITA",1979,74.1,1.8,55.602
"ITA",1980,74,1.7,55.657
"ITA",1981,74.3,1.6,55.774
"ITA",1982,74.7,1.6,55.995
"ITA",1983,74.8,1.5,56.228
"ITA",1984,75,1.5,56.344
"ITA",1985,75.6,1.4,56.498
"ITA",1986,75.9,1.4,56.576
"ITA",1987,76.3,1.4,56.664
"ITA",1988,76.5,1.4,56.763
"ITA",1989,76.9,1.3,56.837
"ITA",1990,77.1,1.4,56.737
"ITA",1991,77.1,1.3,56.76
"ITA",1992,77.5,1.3,56.859
"ITA",1993,77.8,1.3,56.44193
"ITA",1994,78,1.2,56.62339
"ITA",1995,78.3,1.2,56.74459
"ITA",1996,78.6,1.2,56.82645
"ITA",1997,78.9,1.2,56.94104
